Code_commune_INSEE,Nom_commune,Code_postal
70309,LOULANS VERCHAMP,70230
70311,LUXEUIL LES BAINS,70300
70315,MAGNONCOURT,70800
70319,MAGNY JOBERT,70200
70321,MAGNY VERNOIS,70200
70323,MAILLERONCOURT ST PANCRAS,70210
70329,MALVILLERS,70120
70330,MANDREVILLARS,70400
70337,MELIN,70120
70343,MERSUAY,70160
70351,MOLLANS,70240
70353,MONTAGNEY,70140
70360,MONTDORE,70210
70363,MONTIGNY LES VESOUL,70000
70367,MONT LE VERNOIS,70000
70372,MONTUREUX LES BAULAY,70500
70373,LA ROCHE MOREY,70120
70373,LA ROCHE MOREY,70120
70378,NAVENNE,70000
70380,NEUREY EN VAUX,70160
70389,NOIRON,70100
70392,OIGNEY,70120
70401,OVANCHES,70360
70418,LA ROMAINE,70130
70438,RAY SUR SAONE,70130
70441,RECOLOGNE LES RIOZ,70190
70442,RENAUCOURT,70120
70444,LA RESIE ST MARTIN,70140
70446,RIGNY,70100
70448,ROCHE ET RAUCOURT,70180
70449,ROCHE LINOTTE ET SORANS CORDIERS,70230
70455,ROYE,70200
70462,ST FERJEUX,70110
70464,ST GERMAIN,70200
70469,STE MARIE EN CHANOIS,70310
70470,STE MARIE EN CHAUX,70300
70471,STE REINE,70700
70472,ST REMY EN COMTE,70160
70473,ST SAUVEUR,70300
70476,SAPONCOURT,70210
70477,SAULNOT,70400
70480,SAUVIGNEY LES PESMES,70140
70487,SENARGENT MIGNAFANS,70110
70489,SERVANCE MIELLIN,70440
70491,SEVEUX MOTEY,70130
70492,SOING CUBRY CHARENTENAY,70130
70498,TERNUAY MELAY ET ST HILAIRE,70270
70500,THIEFFRANS,70230
70509,TROMAREY,70150
70512,LA VAIVRE,70320
70517,VALLEROIS LORIOZ,70000
70534,VELLEFRIE,70240
70539,VELLEXON QUEUTREY ET VAUDEY,70130
70541,VELORCEY,70300
70546,VEREUX,70180
70561,VILLERSEXEL,70110
70573,LA VOIVRE,70310
70575,VORAY SUR L OGNON,70190
70576,VOUGECOURT,70500
70583,VY LES FILAIN,70230
71001,L ABERGEMENT DE CUISERY,71290
71005,ALUZE,71510
71006,AMANZE,71800
71011,ANZY LE DUC,71110
71012,ARTAIX,71110
71021,BARON,71120
71025,BEAUBERY,71220
71026,BEAUMONT SUR GROSNE,71240
71029,BELLEVESVRE,71270
10074,CHAMOY,10130
10079,CHANNES,10340
10080,CHAOURCE,10210
10082,CHAPELLE VALLON,10700
10085,CHARMOY,10290
10086,CHARNY LE BACHOT,10380
10091,CHAUDREY,10240
10095,LE CHENE,10700
10097,CHERVEY,10110
